bot_number,symbol,direction,status,closed_reason,realized_pnl_usdt,quote_investment,leverage,pnl_target_usdt,max_loss_usdt,score,closed_at
581,PENDLE_USDT_PERP,NEUTRAL,COMPLETED,TRAILING_TAKE_PROFIT,3.11032502,100,2,9,4,0.695407,2026-09-01T01:44:00Z
582,SUI_USDT_PERP,NEUTRAL,COMPLETED,TAKE_PROFIT,18.14773617,200,2,18,8,0.717385,2026-09-01T11:35:41Z
583,AAVE_USDT_PERP,NEUTRAL,COMPLETED,TRAILING_TAKE_PROFIT,3.19090185,200,2,18,8,0.700567,2026-09-01T05:02:20Z
584,NEAR_USDT_PERP,NEUTRAL,COMPLETED,TRAILING_TAKE_PROFIT,6.63180644,200,2,18,8,0.703937,2026-09-01T11:42:39Z
585,AAOIX_USDT_PERP,NEUTRAL,COMPLETED,TRAILING_TAKE_PROFIT,4.66014980,200,2,18,8,0.515541,2026-09-01T08:24:29Z
587,LINK_USDT_PERP,NEUTRAL,COMPLETED,TAKE_PROFIT,18.08834652,200,2,18,8,0.670314,2026-09-01T16:06:22Z
588,WLD_USDT_PERP,NEUTRAL,COMPLETED,TRAILING_TAKE_PROFIT,3.69629342,200,2,18,8,0.617165,2026-09-01T03:34:10Z
590,FARTCOIN_USDT_PERP,NEUTRAL,COMPLETED,TAKE_PROFIT,18.03206373,200,2,18,8,0.666989,2026-09-01T14:40:18Z
591,AXTIX_USDT_PERP,NEUTRAL,COMPLETED,STRUCT_INVALID_ANTI_HUNT,-0.80358205,200,2,18,8,0.728673,2026-09-01T11:57:49Z
592,WLD_USDT_PERP,LONG,COMPLETED,STOP_LOSS,-8.08890562,200,2,18,8,0.697279,2026-09-01T08:11:49Z
