bot_number,symbol,direction,quote_investment,realized_pnl_usdt,unrealized_pnl_usdt,pairs_completed,funding_paid_usdt,adjustments_count,updated_at
580,SKYAI_USDT_PERP,NEUTRAL,200,2.27346155,-4.30017880,420,0.0087,0,2026-09-01T16:43:19Z
586,GIGGLE_USDT_PERP,NEUTRAL,200,1.31442585,-0.79805437,406,0.0040,0,2026-09-01T16:43:19Z
589,ONDO_USDT_PERP,NEUTRAL,200,4.07439993,-0.44468468,373,-0.0028,0,2026-09-01T16:43:19Z
593,LA_USDT_PERP,NEUTRAL,200,0.78090627,-3.28776854,240,-0.0023,0,2026-09-01T16:43:19Z
594,HEMI_USDT_PERP,NEUTRAL,200,4.13808970,-8.46215613,697,-0.0118,0,2026-09-01T16:43:19Z
595,SKHX_USDT_PERP,SHORT,100,0,0.87336037,0,0,0,2026-09-01T16:43:19Z
596,SKHY_USDT_PERP,SHORT,100,0,0.56137590,0,0,0,2026-09-01T16:43:19Z
597,ZEC_USDT_PERP,NEUTRAL,100,1.45888488,-0.30056477,17,0,0,2026-09-01T16:43:19Z
598,BTW_USDT_PERP,NEUTRAL,100,0.14975764,-0.21386961,92,0,0,2026-09-01T16:43:19Z
599,PUMP_USDT_PERP,NEUTRAL,100,0.39350022,-0.64622904,6,0,0,2026-09-01T16:43:19Z
