bot_number,symbol,passes,worst_total_pnl,best_total_pnl,funding_paid_usdt,avg_inventory_notional
580,SKYAI_USDT_PERP,1026,-8.98,0.90,3.0324,61.41
581,PENDLE_USDT_PERP,309,0.12,4.05,0,31.57
582,SUI_USDT_PERP,780,0.03,17.72,0.4470,47.11
583,AAVE_USDT_PERP,467,0.08,4.19,0.0010,24.18
584,NEAR_USDT_PERP,784,-2.93,9.81,-4.7697,95.31
585,AAOIX_USDT_PERP,627,-0.68,5.91,10.1908,85.13
586,GIGGLE_USDT_PERP,1026,-1.19,1.12,1.0397,26.33
587,LINK_USDT_PERP,996,-0.19,17.81,0.9707,68.30
588,WLD_USDT_PERP,397,-0.03,4.71,-0.0877,65.10
589,ONDO_USDT_PERP,1004,-0.95,3.96,-0.6222,32.78
590,FARTCOIN_USDT_PERP,617,-0.12,17.67,1.5142,39.33
591,AXTIX_USDT_PERP,399,-0.20,2.84,2.7367,81.76
592,WLD_USDT_PERP,140,-7.66,0.85,0,235.71
593,LA_USDT_PERP,407,-2.84,0,-0.0528,76.38
594,HEMI_USDT_PERP,397,-14.79,0.77,-0.1537,125.22
595,SKHX_USDT_PERP,245,-2.86,1.29,0,200.00
596,SKHY_USDT_PERP,239,-2.94,2.21,0,200.00
597,ZEC_USDT_PERP,83,-0.16,1.16,0,38.96
598,BTW_USDT_PERP,83,-0.79,0.02,0,17.02
599,PUMP_USDT_PERP,29,-0.49,0.10,0,27.31
