date,bot,symbol,capital_usd,leverage,final_usd,reason,held_hours
2026-09-25,#1284,SUI,50,4,-4.84,STOP_LOSS,2.4
2026-09-25,#1285,XMR,100,2,-0.57,HALF_LIFE,4.2
2026-09-25,#1286,ARB,100,2,+1.67,HALF_LIFE,4.6
2026-09-25,#1292,INJ,100,4,+2.40,HALF_LIFE,8.5
2026-09-25,#1293,BONK,50,2,+0.93,HALF_LIFE,11.4
2026-09-25,#1294,ORDI,100,4,+2.43,HALF_LIFE,11.7
2026-09-25,#1291,DOGE,100,2,+1.11,STRICT,12.3
2026-09-25,#1282,CRV,100,4,+2.28,HALF_LIFE,14.2
2026-09-25,SUBTOTAL,,,,+5.41,,
2026-09-26,#1314,AAOIX,50,2,+0.02,HALF_LIFE,5.1
2026-09-26,#1283,TRUMP,100,5,+1.41,HALF_LIFE,17.8
2026-09-26,#1338,XMR,100,2,+0.21,HALF_LIFE,4.8
2026-09-26,#1290,DASH,100,2,+2.69,HALF_LIFE,17.9
2026-09-26,#1340,INJ,50,5,-2.27,HALF_LIFE,5.1
2026-09-26,#1345,ARB,50,2,+0.28,HALF_LIFE,4.9
2026-09-26,#1344,PEPE,50,2,+0.26,HALF_LIFE,5.5
2026-09-26,#1341,ZAMA,100,2,+0.51,HALF_LIFE,5.7
2026-09-26,#1343,MARSCOIN,50,2,+1.10,HALF_LIFE,7.1
2026-09-26,#1313,AR,100,2,+0.85,HALF_LIFE,12.0
2026-09-26,#1342,ZEC,50,2,-0.03,HALF_LIFE,9.1
2026-09-26,#1360,DASH,100,2,-0.97,STRICT,6.2
2026-09-26,#1356,FARTCOIN,50,4,+0.45,HALF_LIFE,7.8
2026-09-26,#1362,PENGU,50,4,+0.20,HALF_LIFE,6.5
2026-09-26,#1354,PENDLE,50,4,+0.02,HALF_LIFE,8.4
2026-09-26,#1289,XRP,100,4,+3.01,HALF_LIFE,27.1
2026-09-26,#1372,PONS,50,2,+0.11,HALF_LIFE,7.3
2026-09-26,#1376,AR,50,2,-0.86,HALF_LIFE,5.0
2026-09-26,#1288,AAVE,50,4,-1.02,HALF_LIFE,28.3
2026-09-26,#1361,ADA,50,2,+0.21,HALF_LIFE,9.9
2026-09-26,#1371,DOGE,50,2,+0.14,HALF_LIFE,8.5
2026-09-26,#1377,CAKE,50,2,+0.15,HALF_LIFE,5.7
2026-09-26,#1387,MARSCOIN,50,2,-0.41,STRICT,3.3
2026-09-26,#1370,WIF,100,4,-1.37,HALF_LIFE,9.2
2026-09-26,#1355,AXS,50,2,+0.54,STRICT,11.9
2026-09-26,SUBTOTAL,,,,+5.13,,
TOTAL,CLOSED 33,,,,+10.54,,
RUNNING,10 bots,650 usd,,+2.14 realized,-5.92 floating,
EPOCH,NET,,,,+6.76,,
